Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Quality Systems Data Science Engineer,$52K-$101K (Glassdoor est.),"It is our people behind life’s passions who will make the big difference. If you are interested in becoming part of a company that delivers market leading products, driving your own career and working with brands committed to active lifestyles, then you’ve found your fit.

Have what it takes? Join us.

Job Title:

Quality Systems Data Science Engineer

Location:

W6250 Pioneer Road, Fond du Lac, WI 54935

Duties:

Analyze the data systems in the assembly, machining and coating operations. Work closely with the Controls, IT, Production, Materials and Operations groups to ensure that quality data is received from multiple management systems such as in-process validations and other areas in the operations. Act as Business Analytics subject matter expert representing Operations in strategic development of metrics and related analytics. Extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure. Use PowerQuery, M and DAX to develop data models and visualize data using Power BI. Use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel. Improve processes to reduce common cause variability and eliminate special cause by following Problem Solving techniques such as Six Sigma (DMAIC). Design dashboards and related analytics that provide information appropriate for all levels of the organization. Develop scalable and reliable datasets, reports and dashboards. Ensure appropriate collection of quality data, analyze the data for trends, identify corrective action opportunities, and drive corrective action activities. Facilitate the definition and execution of design verifications and manufacturing control plans.

Education + Experience Requirements

Master’s degree in industrial engineering or manufacturing engineering and two (2) years of experience as a quality engineer

Special Skills:

Must have work experience in each of the following: 1) extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure; 2) use PowerQuery, M and DAX to develop data models and visualize data using Power BI; and 3) use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel.

Salary:

$78,500

Apply:

www.brunswick.com

We are the people behind life’s passions.

Brunswick does not accept applications, inquiries or solicitations from unapproved staffing agencies or vendors. For help, please contact our support team at: hrsharedservices@brunswick.com or 866-278-6942.

Equal Opportunity Employer: Minorities/Women/Protected Veterans/Disabled

EEO is The Law - click here for more information

Brunswick and Workday Privacy Policies

#Brunswick Corporation - Mercury Marine",3.7,"Mercury Marine
3.7","Fond du Lac, WI",-1,1001 to 5000 Employees,1939,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1
"VP, Data Science",$52K-$101K (Glassdoor est.),"We are looking for a VP, Data Science to lead all of our Data science and R&D efforts to discover the information hidden in vast amounts of data, and help us build incredible data products. You will be joining other extremely passionate data science, product folks and engineers that share a common interest in distributed systems, performance, scale, and solving problems with software and data. Our technologies power the insights for financial service and corporate giants.

Compensation package includes highly competitive salary, bonus, equity interest and the valuable business experiences, challenges and excitement of a fast growing technology startup company.

Responsibilities
Lead, nurture and grow a very talented data science team
Lead discovery processes with stakeholders to identify the product requirements and the expected outcome
Manage multiple projects in parallel and oversee their completion from start to finish, setting goals and project milestones
Conceptualize and plan leading-edge analytic and quantitative tools and modeling techniques to help 7Park Data’ clients gain insights and improve decision-making
Review internal and external analytical techniques, identify what data is available and relevant and source the necessary data
Collaborate with the Engineering team to deploy solutions to production
Make strategic recommendations to technology, product, and senior management
Be the voice of data science internally and represent 7Park externally
Requirements
Master’s Degree from top tier university in Computer Science, Statistics, Mathematics, Economics or similar quantitative discipline. PhD preferred
Minimum 8+ Years of relevant professional experience with a proven track record of leveraging analytics and large amounts of data to drive significant business impact
Extensive experience with data exploration, data cleaning, implementation of advanced statistical and machine learning algorithms (e.g., time-series analysis and forecasting, clustering, and advanced classification and regression techniques such as decision trees, neural networks, deep learning, and ensemble algorithms), as well as rigorous model validation and evaluation
Excellent interpersonal and leadership skills with the ability to develop and guide team members to deliver actionable results
Fluency in R or Python
Modeling/mining large data sets using Apache Spark, Databricks",3.9,"7Park Data, LLC
3.9","New York, NY",-1,51 to 200 Employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1
Digital Analyst,$52K-$101K (Glassdoor est.),"About the Company: *
Darn Tough Vermont® is an American manufacturer of premium, all weather outdoor and lifestyle socks for every activity and every day – all of which carry the industry’s only unconditional lifetime guarantee. Our product is distinguished from industry competitors by 100 percent USA manufacturing; exceptional comfort, durability and fit; True-Seamless™ technology; and an exclusive blend of either ultra-fine, premium Merino wool or Coolmax®/Thermolite®. Located in the Green Mountains of Vermont, our culture is unique, fun and focused on growth and our brand is passionate, entertaining and engaging.
Overview: *
We’re looking for a Digital Analyst to join the growing eCommerce Team. As a Digital Analyst, you will help the team analyze, track, and optimize performance of DarnTough.com, as well as cross-channel eCommerce marketing campaigns. We’re looking for a highly analytical individual with effective communication skills that is highly capable of sharing findings and recommendations across internal teams to provide the insights and requirements needed to continue to improve our digital experiences.

The Digital Analyst, will provide measurement plans, actionable insights and reports that help drive conversions across the eCommerce channel.
Responsibilities: *
Design, develop, and launch new reports and dashboards for business needs and performance to deliver weekly, monthly, and quarterly for the leadership team.
Develop and maintain new and existing key metrics including, but not limited to website performance across multiple clients: unique visitors, page views, time spent, and conversion metrics based on Analytics Goals and Events.
Identify, monitor, and report on KPIs from website content and digital campaigns.
Draw out key business insights and provide actionable recommendations in clear and concise manner that displays understanding of data and business objectives.
Proactively develop insightful analytics to inform go-to-market strategy.
Support the creation of target segments and audiences.
Support ad-hoc marketing insights requests.
Measure success of digital marketing campaigns, report on campaign analytics and analyze large data sets to identify trends, root causes and business improvement opportunities.
Design, develop, and launch an iterative testing program for constant growth and improvement.
Collaborate with Demand Planning on channel forecasts.
Support the collection and integration of data across various sources and systems.
Execute custom analysis projects identified by account management staff to support UX, user research and media initiatives.
Serve as internal expert for Google Analytics and all other analytics tools in use by the team.
Stay up to date on new trend and emerging digital channels, and provide suggestions for new initiatives that will improve performance.
Experience & Skills: *
BS/BA in marketing, user experience, data science, computer science, MIS or other related field, or equivalent work experience.
Must have experience in data-based analysis, cross-channel analysis, and website UX insights.
Google Certification in Analytics or other similar platform(s).
Analytical experience in digital marketing role.
Able to interpret a variety of data from various sources, including branded eCommerce websites, marketplaces (especially Amazon), social media, and paid media among others.
Experience with audience insights tools and creating personas.
SEO (Search Engine Optimization) including website technical analysis, keyword expansion, onsite meta data analysis experience a plus.
Digital analytics experience using the Google Analytics platform including Google Tag Manager and Google Data Studio; experience with other analytics software and tools is preferred.
Data-driven and highly analytical.
Able to make analysis straightforward and action oriented.
Strong communicator who can clearly articulate your ideas to others at all levels of an organization.
Experience operating successfully in a fast-paced, changing environment.
Solid business acumen.
Job Type: Full-time

Benefits:
401(k)
401(k) Matching
Dental Insurance
Employee Assistance Program
Employee Discount
Flexible Schedule
Health Insurance
Life Insurance
Paid Time Off
Vision Insurance
Schedule:
8 Hour Shift
Monday to Friday
Education:
Bachelor's (Preferred)
License:
Google Certification in Analytics (Preferred)
Work authorization:
United States (Required)
Work Location:
Multiple locations
Work Remotely:
Temporarily due to COVID-19",5.0,"Darn Tough Vermont
5.0","Waterbury, VT",-1,201 to 500 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1
Data Scientist,$52K-$101K (Glassdoor est.),"Job Description:

Metron is seeking talented Data Scientists for a Data Science Support effort. You will be working directly with a government team to design, implement and analyze the results of data science solutions to the client’s machine learning and data mining problems. The ideal candidate will be a self-starter that enjoys working in teams and grappling with data problems from identifying data requirements to implementing analytics and machine learning solutions.

Required Qualifications:
BS or MS degree in Data Science, Data Analytics, Mathematics or related field
At least two years of industry experience is preferred
Experience in theoretical and practical background in statistical analysis, machine learning, predictive modeling, and/or optimization.
Generate hypotheses, design experiments, gather, review and transform data, and test the hypotheses using modern and statistically rigorous methodologies.
Experience developing in languages commonly used for data analysis such as Python, R, Julia, or SAS
Experience working with databases such as SQL or MongoDB.
Experience working with large-scale data sets.
Experience producing data visualizations.
Excellent verbal and written communications skills
US Citizenship required, successful candidates will be subject to a security investigation and must meet eligibility requirements for access to classified information.

Position Location: Reston, VA

All qualified applicants will receive consideration for employment and will not be discriminated against on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or protected veteran status. Metron takes affirmative action in support of its policy to employ and advance in employment individuals who are minorities, women, protected veterans, and individuals with disabilities.

VEVRAA Federal Contractor",3.0,"Metron, Inc.
3.0","Reston, VA",-1,51 to 200 Employees,-1,Company - Private,Electrical & Electronic Manufacturing,Manufacturing,$25 to $50 million (USD),-1
"Product Manager, Panel Data Science",$52K-$101K (Glassdoor est.),"We are looking for an exceptional Product Manager to support our Panel Data Science team. The Panel Data Science team at Numerator is building innovative products to help improve operational efficiency and ensure our panel is representative.

As our Product Manager, you will play a critical role in personalizing our product experience and building data-driven solutions to optimize our business success. This role will give you the opportunity to work with stakeholders, data scientists, and engineers to build high-quality data products for strategic initiatives and opportunities.

This is a new role, as our Product Manager, you will work directly with the Panel Data Science team to craft our growing landscape of data and machine learning technologies into delightful product experiences.

What you get to do!

Own and champion product plans, objectives, and progress against plans and KPIs to all stakeholders (Data Science team, Engineering, and business leaders).
Work with the partnership team to vet and integrate external data sources that could improve our products.
Lead internal and client discovery calls to inform roadmap, business requirements, and vet early outputs.
Assist the data science team through the model development by clarifying business priorities for projects and identifying and scoping data pipelines as needed.
Prioritize features and resources to ensure critical data science resources are working on the highest impact solutions.
Manage stakeholder communication and internal alignment.
Become the subject matter expert in how our panel data science product works and interact with other products at Numerator.

What we are looking for

2+ years product management or product development experience preferably in a data & analytics role.
Work experience in market intelligence and working closely with a data science team or analytics team to build out data products.
Familiarity with Data Science fundamentals and statistics.
Ability to work with internal stakeholders to collect feedback, prioritize tasks, and manage the engineering backlog.
Strong analytical skills and ability to evangelize the use of data for sound decision making across functions.
Strong oral and written communication skills, and ability to collaborate with, and influence cross-functional partners.
Self-motivated, self-directed, and the ability to thrive in a fast-paced environment in an industry that constantly changes.
Organized with a knack for managing complex projects.
Creative and resourceful when it comes to problem-solving.
A passionate can-do attitude. You are not afraid to try, learn, and improve.

Extra, Nice to haves

Familiarity with SQL and big data technologies.
Experience working as an engineer in big data, machine learning, or data science.
Experience working and leading a geographically dispersed team is a plus.
Previous experience working with purchase panel data and/or survey responses.

What We Offer

An inclusive and collaborative company culture - we work in an open environment while working together to get things done and adapt to the changing needs as they come.
An opportunity to have an impact in a technologically data-driven company.
Ownership over data and environments in an industry-leading product.
Market competitive total compensation package.
Volunteer time off and charitable donation matching.
Strong support for career growth, including mentorship programs, leadership training, access to conferences, and employee resources groups.
Regular hackathons to build your own projects and Engineering Lunch and Learns.
Great benefits package including health/vision/dental, unlimited PTO, flexible schedule, 401K matching, travel reimbursement, and more.

If this sounds like something you would like to be part of, we'd love for you to apply! Don't worry if you think that you don't meet all the qualifications here. The tools, technology, and methodologies we use are constantly changing and we value talent and interest over specific experience.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",4.0,"Numerator
4.0","Chicago, IL",-1,1001 to 5000 Employees,2004,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
"Product Manager, Product Data Science",$52K-$101K (Glassdoor est.),"We are looking for an exceptional Product Manager to support our Product Data Science team. The Product Data Science team at Numerator is building some of the most progressive and innovative products to help improve operational efficiency and product performance.

As our Product Manager, you will play a critical role in personalizing our product experience and building data-driven solutions to optimize our business success. This role will give you the opportunity to work with stakeholders, data scientists, and engineers to build high-quality data products for strategic initiatives and opportunities.

This is a new role, as our Product Manager, you will work directly with the Product Data Science team to craft our growing landscape of data and machine learning technologies into delightful product experiences.

What you get to do!

+ Own and champion product plans, objectives, and progress against plans and KPIs to all stakeholders (Data Science team, Engineering, and business leaders).

+ Work with the team in vetting and integrating external data sources that could improve our products.

+ Lead cross functional team to envision, build, and deliver experiences that impact our customers.

+ Lead internal and client discovery calls to inform roadmap, business requirements, and vet early outputs.

+ Define and measure key business metrics to optimize internal business operations.

+ Prioritize features and resources to ensure critical data science resources are working on the highest impact solutions.

+ Manage stakeholder communication and internal alignment.

+ Become the subject matter expert in how our product data science product works and interact with other products at Numerator.

What we are looking for

+ 1+ years of relevant product management experience working in the market research industry

+ Familiarity with Data Science fundamentals and statistics.

+ Ability to work with internal stakeholders to collect feedback, prioritize tasks, and manage the engineering backlog.

+ Strong analytical skills and ability to evangelize the use of data for sound decision making across functions.

+ Strong oral and written communication skills, and ability to collaborate with, and influence cross-functional partners.

+ Self-motivated, self-directed, and the ability to thrive in a fast-paced environment in an industry that constantly changes.

+ Organized with a knack for managing complex projects.

+ Creative and resourceful when it comes to problem-solving.

+ A passionate can-do attitude. You are not afraid to try, learn, and improve.

Extra, Nice to haves

+ Familiarity with SQL and big data technologies.

+ Experience working as an engineer in big data, machine learning, or data science.

+ Experience working and leading a geographically dispersed team is a plus.

What We Offer

+ An inclusive and collaborative company culture - we work in an open environment while working together to get things done and adapt to the changing needs as they come.

+ An opportunity to have an impact in a technologically data-driven company.

+ Ownership over data and environments in an industry-leading product.

+ Market competitive total compensation package.

+ Volunteer time off and charitable donation matching.

+ Strong support for career growth, including mentorship programs, leadership training, access to conferences, and employee resources groups.

+ Regular hackathons to build your own projects and Engineering Lunch and Learns.

+ Great benefits package including health/vision/dental, unlimited PTO, flexible schedule, 401K matching, travel reimbursement, and more.

If this sounds like something you would like to be part of, we'd love for you to apply! Don't worry if you think that you don't meet all the qualifications here. The tools, technology, and methodologies we use are constantly changing and we value talent and interest over specific experience.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",4.0,"Numerator
4.0","Chicago, IL",-1,1001 to 5000 Employees,2004,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1
Inside Sales Representative (Headquarters),$52K-$101K (Glassdoor est.),"Becoming a Sales Professional at Red Ventures means launching a sales career with a company ranked in the top ten best places to work in Charlotte, NC for 10 years running. It's easy to see why! Imagine a day in the life of a Red Ventures Sales Professional: a high-energy sales center, a supportive team by your side, goals to strive for, subsidized gourmet cafés, on-campus facilities to remain active, and defined career paths for successful Sales Professionals.

About the Role:

As a Sales Professional, you will sell on behalf of our brand partners. These will be inbound phone calls (no cold-calls) from residential customers shopping for home services.
Your goal is to establish rapport, deliver maximum product value, overcome hesitations and close the sale in just one call.
We'll give you all the tools you need for success – paid training, proprietary technology, dynamic scripting and expert coaching.
If you've got the drive, you can grow your sales career at Red Ventures through 5 different levels. Each promotion means higher earning potential and perks like extra PTO days, guaranteed holidays, and additional learning and development opportunities.
On average, a Sales Professional earns in the low $40,000s in their first 12 months. This includes a combination of the hourly base pay and uncapped commission, based on performance.
Commuting to our office in Fort Mill, SC is easy, and just 5-10 minutes south of the Ballantyne area of Charlotte.

About You:

The bottom line is we're a place where sales talent – of all levels and all backgrounds – can earn, learn and grow for years to come. Maybe you're seeking an entry-level role and are excited for extensive paid training as well as coaching and mentorship. Maybe you're a seasoned sales pro or customer service representative ready for a new opportunity with incredible growth potential. Sales experience not required. Instead, we look for teammates who are:

Adaptable - Do you thrive under pressure and roll with change?
Accountable - You come to work, ready to work. Your team can count on you.
Coachable - Our leadership teams are the best of the best and they're here for you.
Grit - You bring your best attitude and best effort, all the time.
Honest - Integrity is non-negotiable here—we believe in ""winning the right way"".
Drive - Commission is uncapped and so are our goals—let's chase both together.
Funny - Seriously—a sense of humor is a must. We work hard, play hard, and hand out the high fives for free.

Must be at least 18 years of age and able to pass a pre-employment drug screen and background check.

About Red Ventures:

Red Ventures is a multi-billion-dollar portfolio of digital companies that specializes in bringing consumers and brands together. Through bespoke technology, integrated digital commerce and sales, distinguished partnerships, data science, and original content from the company's proprietary brands and marketplaces, Red Ventures provides better end-to-end consumer experiences throughout the buying cycle. Headquartered near the Charlotte area, Red Ventures has more than 3,600 employees globally in offices across the US, UK, and Brazil.",2.5,"Red Ventures - Sales
2.5","Charlotte, NC",-1,1001 to 5000 Employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),-1
Data Engineer,$52K-$101K (Glassdoor est.),"The Data Engineer will work with product owners and data stewards to deliver high quality technical solutions in response to business requirements. You will be counted on to provide your peers with technical expertise that will offer solutions for difficult programming problems.

Duties and Responsibilities:

SQL Server Integration Services (SSIS) including UI and custom code features.
Write or create stored procedures, SQL scripts, SSIS packages that can be used to:
Move data from source databases to target databases
Clean / Condition data
Convert or transform data
Reconcile and confirm converted data
Find data errors
Validate data to business rules
Ability to examine existing ETL scripts and track data back to
source
SQL Server administration, tuning, and workbench.
Work with business experts to understand data and complete
data mappings.
Focus on the development of extract, transform, and load (ETL) jobs currently using Microsoft SQL, Server, and SSIS.
The environment currently supports hundreds of related ETL jobs that move data between 30 different source systems and between multiple classifications.
Part of the challenge as a data engineer will be to find scalable and efficient coding solutions that plug into this extensible system in order to add more data to the Enterprise data store.
Other duties as assigned

Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)

Bachelor’s Degree in Statistics, Mathematics, Computer Science or another quantitative field
Equivalent years of experience in lieu of degree
4 years of relevant experience with the following software / tools:
Experience with Microsoft SQL
Prior experience supporting IC/DoD
The existing data warehouse is built on Microsoft SQL hosted on Amazon Web Services (AWS), so experience developing solutions that scale well in these environments is a plus.
Active Top-Secret Clearance with ability to obtain SCI

Knowledge, Skills and Abilities:

Ability to work independently and yet be effective within a team setting
Must be capable of managing multiple efforts with time related constraints in a fast-paced contracting environment
Demonstrated ability to effectively communicate and collaborate with diverse internal and external stakeholder groups and individuals
Friendly presence, helpful attitude, good interpersonal skills, and ability to work well with others.
Excellent skills in Microsoft Word, Excel, and other Office applications
Proficient with Microsoft Office Applications, and experience working in a home office setting as well as the ability to train end users on frequently asked technical issues.
Ability to provide technical assistance and support over the phone; good phone skills, professional demeanor, previous customer service experience strongly desired.

Good problem-solving skills; ability to visualize a problem/situation and think abstractly to solve it

Physical Demands: (The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)

While performing the duties of this Job, the employee is regularly required to sit and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms. The employee is occasionally required to stand; climb or balance and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision.

Work Environment: (The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.)

The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment.
During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is occasionally exposed to fumes or airborne particles, toxic or caustic chemicals, and loud noise.

Chenega Corporation and family of companies is an EOE.

Equal Opportunity Employer/Veterans/Disabled

Native preference under PL 93-638.

We participate in the E-Verify Employment Verification Program.

Recruiter Jonas Patterson

Job Posting May 4, 2020, 1:51:27 PM",2.7,"Chenega Corporation
2.7","Springfield, VA",-1,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1
IT Cyber Security Analyst,$52K-$101K (Glassdoor est.),"Cyber Security Analyst

Cyber Security Analyst to oversee day-to-day security operations in cloud infrastructure as well as in large workspace environments. In addition, the position will also focus on establishing and ensuring adherence to enterprise information security policies, standards and practices both at the department, business and functional areas. This will allow us to achieve the required level of consistency, quality, and protection to meet overall business needs.

Responsibilities:

Reviewing, documenting, evaluating and testing application controls, particularly automated controls on a wide range of software application packages for compliance reporting.
Identifying internal IT controls, assessing their design and operational effectiveness, determining risk exposures and developing remediation plans
Determine the technical and business impact of identified security and control issues and provide remediation guidance.
Develop, motivate and mentor associates by providing training, regular feedback and career guidance while fostering a team environment.

Qualifications & Education:

Professional with one of the following including, but not limited to
Certified Information Systems Auditor (CISA®)
Certified Information Systems Security Professionals (CISSP®)
Certified Information Security Manager (CISM®)
Certified Information Privacy Technologist (CIPT)
2 – 5 years’ experience in IT Audit, IT Security, Information Risk Management, IT Governance or other IT compliance-related work.
Prior responsibilities should include performing IT risk assessments and controls reviews and recommending, designing and advising on applicable IT controls.
Experience with IT internal controls and their applicability with regards to financial reporting and information systems support processes.
Technically knowledgeable in cross-platform system security - particularly with regards to operating systems, databases, networking and transactional processing environments.
Proficiency in a variety of operating systems including Windows, Mac, and Linux.
Proficiency with commercial and open-source database management systems (MS-SQL)
Experience in PCI-DSS, NIST 27001/2, NIST 800-53, NIST 700-37
Experience in the performance of Service Organization Control (SOC 1, 2, & 3) assessments is a plus
BS degree in Computer Science, Information Science, Data Science, Mathematics, or related engineering disciplines

Abaco is a Department of Defense (DoD) supplier and as such employees may work with or be exposed to controlled information that may only be seen or handled by US citizens or qualified permanent residents.",2.9,"Abaco Systems, Inc
2.9","Huntsville, AL",-1,501 to 1000 Employees,-1,Company - Private,-1,-1,$100 to $500 million (USD),-1
Lead Spec - IT BI Developer,$52K-$101K (Glassdoor est.),"Position Summary

We are looking for a BI Developer with a passion for data, and loves to stay on the edge of new techniques and technologies. The ideal candidate who has experience with the Microsoft Azure BI stack, as well as traditional BI experience will help our diverse team to modernize our BI landscape. This candidate will work to break down barriers and evangelize the latest tools and techniques in Business Intelligence to cultivate a data-driven culture throughout the company.

Essential Functions

Enhance, augment, and shape our data strategy by acquiring and warehousing new data sources from inside and outside the organization.
Champion and implement modern BI solutions using latest BI technologies including IOT, Cloud, Machine Learning, and AI.
Assist in maintaining and developing traditional BI solutions using the MS SQL Server BI stack.
Create automated dashboards and reports using Power BI, Tableau, SAP Business Objects, and/or SSRS.
Work with business users and other IT areas to collect, shape, and use functional/business requirements to then design and develop end-to-end solutions including ETL, governance, presentation, data mining, machine learning as may be needed.
Develop methods to deliver BI governance metrics (i.e. usage, memory, space, queries, etc.).
Lead prototype efforts in various BI tools for capability assessment and demonstrations.
Contribute toward evolving company's analytical self-service/ad hoc reporting capabilities using existing or future toolsets.
Work with business partners and internal staff on resolving platform production defects and performance issues.
Propose optimal ways to address business demands for BI with a goal of delivering maximum overall value for BI investments.
Participate and develop BI landscape strategy including optimal setup to support multiple/parallel project deliverables.
Develop, document, and adhere to standard procedures and best practices.
Ensure requirements are met in accordance with corporate compliance standards.

Required Skills

Years of experience requirements are below based on the specific level. Experience should include at least 5 years of experience developing traditional BI solutions within the Microsoft BI stack (MS SQL Server/SSIS/SSAS/SSRS) and at least 3 years of experience implementing modern BI Solutions in the MS Azure BI stack.
Bachelor's degree from an accredited college or university in Computer Science, Computer Engineering, or a related field.
Fluency in MS SQL query language, ability to write stored procedures, views, indexes, etc.
Previous experience reporting and warehousing of IOT data.
Understanding of cloud and distributed systems principles, including load balancing, networks, scaling, in-memory vs. disk.
Proficient in developing and executing test scenarios including regression testing.
Strong tracking, coordination and project planning skills
Ability to identify and implement programing logic and/or application improvements
Must be able to work on multiple simultaneous tasks with limited supervision
Quick learner, motivated self-starter, team player
Excellent customer service, interpersonal, verbal and written communication, and team collaboration skills
Able to follow change management procedures and internal guidelines
Strong time-management skills, initiative, commitment, and ability to work under pressure to meet tight deadlines while maintaining high quality standards and best practices
Excellent analytical and problem solving skills, strong organizational skills, attention to detail.

Required experience is commensurate with the selected job level:

The Senior IT Specialist level requires a Bachelor's degree or equivalent experience and 5-8 years of relevant job related experience
The Lead IT Specialist level requires a Bachelor's degree or equivalent experience and 8+ years of relevant job related experience
The Principal IT Specialist level requires a Bachelor's degree or equivalent experience and 10+ years of relevant job related experience.

Working Conditions:

The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.

Usually, normal office working conditions.
Must be able to remain in a stationary position 50% of the time due to prolonged periods of sitting or standing.
Occasional overnight travel may be required.

Additional Preferred Skills

Relevant industry experience such as crude, natural gas, NGL storage and/or other energy transportation.
Visualization experience with Tableau or Power BI.
Scrum/Agile certification or experience.
Azure DevOps, JIRA, and/or Jenkins experience.
Previous experience in DevOps, Web Development, or DBA teams.
Experience with consuming and developing REST API, JSON, XML, and/or JavaScript.
Experience warehousing or reporting against SCADA or other IOT solutions.
Confidence in several programming languages such as R, Python, Scala, or Java, with the ability to pick up new languages and technologies quickly.
Data Science/Advanced Analytics (ex: Predictive Analytics, Text Analytics, and analysis of unstructured data).
Experience with large-scale, big data methods, such as Hadoop, Spark, Hive, Impala, or Storm.
Data modeling with SAP BW on HANA with HANA Studio and HANA Views.
ITIL Certification or experience using Remedy application is a plus.

System administration skills with SSRS, Tableau, or Business Objects.

#LI-CK1",3.5,"Energy Transfer Partners, L.P.
3.5","Dallas, TX",-1,10000+ Employees,1995,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
